Team,Pitcher,IP,H,R,ER,BB,K,HR,BF,AB,NP,Decision,B-Ref
LMU (CA),Unknown,1,1,0,0,0,0,0,5,,8,,
LMU (CA),Unknown,7,9,8,8,0,0,0,33,,67,L,
Saint Mary's (CA),sam Kretsch,1.2,1,0,0,0,0,0,6,,21,,
Saint Mary's (CA),dani Castro,1,0,0,0,0,0,0,4,,7,,
Saint Mary's (CA),lu Sarantos,6.1,3,3,2,0,0,0,28,,59,W,
