Team,Pitcher,IP,H,R,ER,BB,K,HR,BF,AB,NP,Decision,B-Ref
Xavier,Unknown,6,5,2,2,0,0,0,24,,62,W,
Xavier,Unknown,0.1,2,2,0,0,1,0,1,,3,S,
Xavier,Unknown,2.2,3,2,1,0,0,0,14,,33,,
Stanford,R Speshyock,1,0,0,0,0,0,0,3,,7,,
Stanford,T Moore,3,3,2,2,0,0,0,14,,31,,
Stanford,C Lim,5,6,3,3,0,0,0,24,,54,L,
