Team,Pitcher,IP,H,R,ER,BB,K,HR,BF,AB,NP,Decision,B-Ref
LMU,Kenji Pallares,7,9,8,8,3,6,0,33,28,105,,pallar000ken
LMU,Austin Schroeder,1,1,0,0,1,1,0,5,4,17,,schroe001aus
Saint Mary's,Lukas Sarantos,6.1,3,3,2,2,6,0,28,24,102,,sarant000luk
Saint Mary's,Sam Kretsch,1.2,1,0,0,1,1,0,6,5,34,,kretsc000sam
Saint Mary's,Daniel Guevara,1,0,0,0,1,1,0,4,3,13,,guevar003dan
